Timestamp,,Depth [cm],Force [Pounds/Raw],Force [Offset]
0.02,1.088813089,0.156466513,-4.832898165,0.167101835
0.02,1.114031017,0.15704388,-2.86797516,2.13202484
0.02,1.117600351,0.157621247,-3.805633615,1.194366385
0.02,1.107482765,0.158198614,-5.496967295,-0.496967295
0.02,1.090193709,0.158775982,-4.57421834,0.42578166
0.02,1.126054038,0.159353349,-2.588720225,2.411279775
0.02,1.071368974,0.159930716,-3.471959005,1.528040995
0.02,1.057354044,0.160508083,-5.68527428,-0.68527428
0.02,1.143196981,0.16108545,-4.00318449,0.99681551
0.02,1.11788065,0.161662818,-3.41813571,1.58186429
0.02,1.081644601,0.162240185,-5.425103505,-0.425103505
0.02,1.076101249,0.162817552,-3.61046826,1.38953174
0.02,1.062491858,0.163394919,-3.431703355,1.568296645
0.02,1.057950424,0.163972286,-2.04228705,2.95771295
0.02,0.954734937,0.164549654,-3.371468975,1.628531025
0.02,0.987664059,0.165127021,-5.160310785,-0.160310785
0.02,1.043491191,0.165704388,-1.217344415,3.782655585
0.02,0.990929239,0.166281755,-7.29400933,-2.29400933
0.02,1.067701237,0.166859122,-3.436474395,1.563525605
0.02,1.057634342,0.16743649,-2.410104415,2.589895585
0.02,1.037324622,0.168013857,-4.15585777,0.84414223
0.02,1.021797868,0.168591224,-5.34653044,-0.34653044
0.02,1.068756829,0.169168591,-3.564099715,1.435900285
0.02,1.057547867,0.169745958,-7.698205875,-2.698205875
0.03,1.133368639,0.170323326,-4.349830365,0.650169635
0.03,1.122782894,0.170900693,-3.267997045,1.732002955
0.03,1.125007391,0.17147806,-3.58750763,1.41249237
0.03,1.091049514,0.172055427,-4.88791422,0.11208578
0.03,1.139591864,0.172632794,-3.558732295,1.441267705
0.03,1.153791672,0.173210162,-3.282608355,1.717391645
0.03,1.140149479,0.173787529,-4.92995901,0.07004099
0.03,1.126554997,0.174364896,-6.13315566,-1.13315566
0.03,1.112301515,0.174942263,-2.5298277,2.4701723
0.03,1.044171064,0.17551963,-5.76459282,-0.76459282
0.03,1.086299347,0.176096998,-1.86396943,3.13603057
0.03,1.023512461,0.176674365,-4.125293295,0.874706705
0.03,1.022230244,0.177251732,-3.272171705,1.727828295
0.03,1.025486479,0.177829099,-2.88437561,2.11562439
0.03,0.986757561,0.178406467,-3.744206475,1.255793525
0.03,0.967539216,0.178983834,-3.601671655,1.398328345
0.03,0.956896815,0.179561201,-4.079670225,0.920329775
0.03,0.945956224,0.180138568,-1.828037535,3.171962465
0.03,0.899924633,0.180715935,-4.919969645,0.080030355
0.03,0.888975096,0.181293303,-5.24216394,-0.24216394
0.03,0.900929534,0.18187067,-2.594087645,2.405912355
0.03,0.881380197,0.182448037,-3.722140415,1.277859585
0.03,0.90443923,0.183025404,-3.11487648,1.88512352
0.03,0.859144169,0.183602771,-4.217434005,0.782565995
0.03,0.869559946,0.184180139,-3.001713375,1.998286625
0.03,0.791380491,0.184757506,-2.146504455,2.853495545
0.03,0.759104406,0.185334873,-3.57200175,1.42799825
0.03,0.777672697,0.18591224,-2.689508445,2.310491555
0.03,0.804453141,0.186489607,-4.31151295,0.68848705
0.03,0.781975579,0.187066975,-6.361420105,-1.361420105
0.03,0.803278272,0.187644342,-2.78120187,2.21879813
0.03,0.777920195,0.188221709,-5.32297343,-0.32297343
0.03,0.834069372,0.188799076,-4.172705505,0.827294495
0.03,0.845943298,0.189376443,-1.39312742,3.60687258
0.03,0.842755646,0.189953811,-5.26900104,-0.26900104
0.03,0.832181829,0.190531178,-5.22993815,-0.22993815
0.03,0.840426783,0.191108545,-5.70227111,-0.70227111
0.03,0.830774372,0.191685912,-4.29093784,0.70906216
0.03,0.842057882,0.192263279,-3.65877504,1.34122496
0.03,0.885563803,0.192840647,-7.20306138,-2.20306138
0.03,0.950619915,0.193418014,-1.72501289,3.27498711
0.03,0.874140144,0.193995381,-2.368954195,2.631045805
0.03,0.805815869,0.194572748,-3.84544198,1.15455802
0.03,0.785834157,0.195150115,-3.45540946,1.54459054
0.03,0.783368126,0.195727483,-3.939819115,1.060180885
0.03,0.742939526,0.19630485,-3.42559046,1.57440954
0.03,0.732643025,0.196882217,-4.932195435,0.067804565
0.03,0.727269641,0.197459584,-2.99858238,2.00141762
0.03,0.711975476,0.198036952,-4.12454782,0.87545218
0.03,0.729169112,0.198614319,-3.90716731,1.09283269
0.03,0.72087943,0.199191686,-4.879117615,0.120882385
0.03,0.756119524,0.199769053,-3.156772175,1.843227825
0.03,0.710093897,0.20034642,-5.28540149,-0.28540149
0.03,0.708027441,0.200923788,-2.460796715,2.539203285
0.03,0.706894319,0.201501155,-2.848741905,2.151258095
0.03,0.66731556,0.202078522,-3.96471798,1.03528202
0.03,0.625488449,0.202655889,-5.609683115,-0.609683115
0.03,0.721568249,0.203233256,-6.84582976,-1.84582976
0.03,0.807706394,0.203810624,-5.93635026,-0.93635026
0.03,0.788672926,0.204387991,-3.65817866,1.34182134
0.03,0.771631368,0.204965358,-5.00331375,-0.00331375
0.03,0.802157078,0.205542725,-4.189404145,0.810595855
0.03,0.805028648,0.206120092,-3.109359965,1.890640035
0.03,0.80996071,0.20669746,-4.82082147,0.17917853
0.03,0.801489132,0.207274827,-4.70512375,0.29487625
0.03,0.826483418,0.207852194,-4.13379171,0.86620829
0.03,0.859257481,0.208429561,-4.62669978,0.37330022
0.03,0.837412082,0.209006928,-4.12961705,0.87038295
0.03,0.814400759,0.209584296,-5.467446485,-0.467446485
0.03,0.880932912,0.210161663,-4.644442085,0.355557915
0.03,0.882722052,0.21073903,-3.571554465,1.428445535
0.03,0.858810196,0.211316397,-2.56918878,2.43081122
0.03,0.827619522,0.211893764,-5.37962953,-0.37962953
