Timestamp (seconds),Torque [Pound-inches/Raw],,
0.029,0.279139045,1.324107901,1.324107901
0.029,1.517576205,1.318835548,1.318835548
0.029,3.79339479,1.305013515,1.305013515
0.029,3.628008375,1.298333031,1.298333031
0.029,1.140340555,1.2416588,1.2416588
0.029,1.44854059,1.22991587,1.22991587
0.029,0.60224958,1.23908881,1.23908881
0.029,2.39031674,1.252713445,1.252713445
0.029,1.32209955,1.212379963,1.212379963
0.029,0.046535245,1.225062834,1.225062834
0.029,0.84973491,1.229082705,1.229082705
0.029,1.388451275,1.242391818,1.242391818
0.029,0.83366054,1.2168054,1.2168054
0.029,1.56457325,1.256136316,1.256136316
0.029,0.02849354,1.229556859,1.229556859
0.029,0.78412871,1.27130568,1.27130568
0.029,0.316713505,1.274386189,1.274386189
0.029,2.34585448,1.30882348,1.30882348
0.029,2.72756328,1.279831504,1.279831504
0.029,1.926152875,1.299597442,1.299597442
0.029,1.90271442,1.266764521,1.266764521
0.029,1.86397609,1.260540878,1.260540878
0.029,0.219169865,1.238663613,1.238663613
0.029,0.08482626,1.237891829,1.237891829
0.029,0.647428395,1.248761583,1.248761583
0.029,2.357633775,1.297930448,1.297930448
0.029,0.29029295,1.25672379,1.25672379
0.029,0.68571941,1.318960217,1.318960217
0.029,0.059925725,1.344544232,1.344544232
0.029,2.702095295,1.38562266,1.38562266
0.029,0.325929045,1.342685805,1.342685805
0.029,0.160422495,1.351814013,1.351814013
0.029,1.58604437,1.353368266,1.353368266
0.029,0.529933655,1.378658877,1.378658877
0.029,0.856473605,1.398006742,1.398006742
0.029,2.04797166,1.38661454,1.38661454
0.029,1.860844885,1.378854537,1.378854537
0.029,1.929106005,1.348537929,1.348537929
0.029,0.602696895,1.348445484,1.348445484
0.029,3.231985495,1.339558826,1.339558826
0.029,2.719391475,1.282895944,1.282895944
0.029,0.967378755,1.248944735,1.248944735
0.029,1.25175096,1.239336409,1.239336409
0.029,0.33952657,1.219878206,1.219878206
0.029,1.415290175,1.234344374,1.234344374
0.029,1.926123905,1.262355239,1.262355239
0.029,1.090539485,1.236903015,1.236903015
0.029,1.83740643,1.263917859,1.263917859
0.029,0.39824497,1.249132607,1.249132607
0.029,1.381024995,1.28556252,1.28556252
0.029,0.015521405,1.292707632,1.292707632
0.029,0.82647453,1.301608621,1.301608621
0.029,3.45937062,1.333818863,1.333818863
0.029,0.79429682,1.307361671,1.307361671
0.029,0.553194035,1.296748378,1.296748378
0.029,1.90718757,1.306657896,1.306657896
0.029,1.283481355,1.270309658,1.270309658
0.029,0.373642645,1.276062709,1.276062709
0.029,1.956243115,1.287669042,1.287669042
0.029,0.247528785,1.2573357,1.2573357
0.029,1.515190525,1.278469843,1.278469843
0.029,0.109130375,1.25100172,1.25100172
0.029,2.800206385,1.257559358,1.257559358
0.029,0.235600385,1.216662838,1.216662838
0.029,2.11593457,1.226157265,1.226157265
0.029,0.938154175,1.208977966,1.208977966
0.029,2.038578045,1.190898074,1.190898074
0.029,0.89625567,1.151313099,1.151313099
0.029,3.71586019,1.156257421,1.156257421
0.029,0.284506825,1.145175937,1.145175937
0.029,1.591532285,1.172008293,1.172008293
0.029,0.77011284,1.21848134,1.21848134
0.029,0.18058064,1.20656843,1.20656843
0.029,0.628313985,1.270489743,1.270489743
0.029,3.105871635,1.260285576,1.260285576
0.029,0.297300885,1.200604809,1.200604809
0.029,3.4021143,1.201350334,1.201350334
0.029,1.964920175,1.208408965,1.208408965
0.029,2.1138471,1.194708618,1.194708618
0.029,0.555252535,1.181373246,1.181373246
0.029,0.78233945,1.194578564,1.194578564
0.029,0.23813517,1.182396686,1.182396686
0.029,2.850574905,1.18555415,1.18555415
0.029,1.497326895,1.145973316,1.145973316
0.029,0.286863535,1.167897716,1.167897716
0.029,1.65997148,1.169958347,1.169958347
0.029,0.345014485,1.188936431,1.188936431
0.029,1.92448375,1.198661639,1.198661639
0.029,0.158363995,1.253186934,1.253186934
0.029,0.39884139,1.260889699,1.260889699
0.029,1.02183105,1.272428023,1.272428023
0.029,0.486962445,1.288134744,1.288134744
0.029,0.278840835,1.307804675,1.307804675
0.029,1.062834925,1.319807048,1.319807048
0.029,2.81583344,1.299030758,1.299030758
0.029,0.65351273,1.248592098,1.248592098
0.029,2.44128168,1.259584698,1.259584698
0.029,1.09814384,1.234771223,1.234771223
0.029,2.21974062,1.233555106,1.233555106
0.04,1.738280575,1.196645075,1.196645075
0.04,0.46057086,1.163954715,1.163954715
0.04,2.436986605,1.164518332,1.164518332
0.04,2.13651106,1.132027773,1.132027773
0.04,0.263632125,1.09274457,1.09274457
0.04,1.04866995,1.097936406,1.097936406
0.04,0.089775695,1.091498052,1.091498052
0.04,1.57113387,1.119392036,1.119392036
0.04,0.953959305,1.11415845,1.11415845
0.04,0.439576025,1.10622068,1.10622068
0.04,1.30423592,1.137979465,1.137979465
0.04,0.14178437,1.14180492,1.14180492
0.04,0.43701227,1.172618959,1.172618959
0.04,0.755380415,1.179328684,1.179328684
0.04,0.710321735,1.182450364,1.182450364
0.04,1.256969635,1.187361882,1.187361882
0.04,0.03415953,1.195052718,1.195052718
0.04,0.059329305,1.220710127,1.220710127
0.04,1.14347176,1.27089945,1.27089945
0.04,3.16178601,1.277779734,1.277779734
0.04,1.626124645,1.249858331,1.249858331
0.04,3.915184605,1.258638213,1.258638213
0.04,0.174467335,1.209099568,1.209099568
0.04,3.376646315,1.212078107,1.212078107
0.04,0.118105645,1.165058756,1.165058756
0.04,0.12183327,1.206885112,1.206885112
0.04,0.334577135,1.234567367,1.234567367
0.04,3.755045835,1.240776099,1.240776099
0.04,1.279902835,1.206920317,1.206920317
0.04,1.44707851,1.197416365,1.197416365
0.04,1.215518445,1.181005289,1.181005289
0.04,0.173245525,1.157973951,1.157973951
0.04,0.396008395,1.188173678,1.188173678
0.04,0.87153321,1.205299878,1.205299878
0.04,2.593546855,1.2089947,1.2089947
0.04,0.38989509,1.163514114,1.163514114
0.04,2.6088757,1.203415191,1.203415191
0.04,0.83127486,1.166175306,1.166175306
0.04,4.65074854,1.159107149,1.159107149
0.04,0.54350221,1.081846903,1.081846903
0.04,0.975757605,1.076293653,1.076293653
0.04,1.807167085,1.098080876,1.098080876
0.04,1.470459025,1.09014791,1.09014791
0.04,0.87895949,1.070179769,1.070179769
0.04,0.02402039,1.118439672,1.118439672
0.04,0.29390044,1.131178624,1.131178624
0.04,1.20314273,1.127996144,1.127996144
0.04,1.200607945,1.126191973,1.126191973
0.04,1.03733797,1.108660208,1.108660208
0.04,0.374239065,1.09121194,1.09121194
0.04,0.103762595,1.090848704,1.090848704
0.04,0.488751705,1.108073313,1.108073313
0.04,0.81245866,1.107157809,1.107157809
0.04,0.172350895,1.133922735,1.133922735
0.04,0.52322393,1.140281152,1.140281152
0.04,0.726752255,1.143689113,1.143689113
0.04,1.484474895,1.134733867,1.134733867
0.04,1.309454595,1.118374066,1.118374066
0.04,0.557070765,1.105198569,1.105198569
0.04,2.027515305,1.13051958,1.13051958
0.04,1.495508665,1.112990796,1.112990796
0.04,1.682486335,1.108598163,1.108598163
0.04,0.77249852,1.110059971,1.110059971
0.04,0.91146438,1.102935734,1.102935734
0.04,0.95589767,1.107179842,1.107179842
0.04,1.64151143,1.114429907,1.114429907
0.04,1.31702998,1.11930564,1.11930564
0.04,2.568795425,1.09434306,1.09434306
0.04,1.487485965,1.048025083,1.048025083
0.04,1.765715895,1.066164618,1.066164618
0.04,2.065118735,1.048859492,1.048859492
0.04,1.438252345,1.008812871,1.008812871
0.04,0.32339426,1.01781641,1.01781641
0.04,1.02567881,1.07318564,1.07318564
0.04,2.209423405,1.069795572,1.069795572
0.04,1.505946015,1.066551047,1.066551047
0.04,0.645013745,1.045676347,1.045676347
0.04,2.06225677,1.043171963,1.043171963
0.04,0.8047052,1.015978772,1.015978772
0.04,0.626524725,1.012069818,1.012069818
0.04,0.06395156,1.013627054,1.013627054
0.04,1.68323186,1.029623038,1.029623038
0.04,1.25231841,1.018518277,1.018518277
0.04,1.056274305,0.999391088,0.999391088
0.04,0.31951753,0.989791129,0.989791129
0.04,2.38494896,1.041194166,1.041194166
0.04,0.74688143,0.999554524,0.999554524
0.04,0.47786704,0.98857087,0.98857087
0.04,0.7877362,0.989689737,0.989689737
0.04,0.26583973,0.980540075,0.980540075
0.04,2.065118735,1.012317912,1.012317912
0.04,1.410518815,0.97401582,0.97401582
0.04,0.472051945,0.957954229,0.957954229
0.04,3.291954675,0.965794749,0.965794749
0.04,0.66096798,0.954733561,0.954733561
0.04,0.134776435,0.96456016,0.96456016
0.04,1.112934205,1.038361171,1.038361171
0.04,0.32401965,1.031710508,1.031710508
0.04,0.164924615,1.038717864,1.038717864
0.04,0.356077225,1.055915635,1.055915635
0.04,0.964993075,1.057024396,1.057024396
0.04,0.44297647,1.038675535,1.038675535
0.04,2.150705005,1.034363419,1.034363419
0.04,0.490271725,1.014254539,1.014254539
0.04,0.693621975,1.034261448,1.034261448
0.04,0.27898994,1.078760923,1.078760923
0.04,0.666484865,1.143347245,1.143347245
0.04,0.650679735,1.134917428,1.134917428
0.04,1.82312132,1.188226027,1.188226027
0.04,1.151076115,1.260878929,1.260878929
0.04,1.275877,1.244346167,1.244346167
0.04,1.755576755,1.244704598,1.244704598
0.04,0.416286675,1.227073844,1.227073844
0.04,1.123669765,1.241331843,1.241331843
0.04,1.318400895,1.298146812,1.298146812
0.04,1.885298105,1.283205912,1.283205912
0.04,0.068900995,1.273537364,1.273537364
0.04,0.252896565,1.278261011,1.278261011
